Z_COE,T_COE,NIVEL_AE_COE,Z_INFO,T_INFO,NIVEL_AE_INFO,Z_TE,T_TE,NIVEL_AE_TE,AE_Total,T,Nivel_AE_TOTAL,O,C,E,A,N,GENERO,CARRERA,EDAD,CIUDAD,CIVIL,HIJOS,VIVES,NUM_HIJO,PREPA,MOD_PREPA,INGRESOS,HA_TRABAJO,TRABAJO_ACTUAL,PAPAS_TRABAJO,PAPAS_NEGOCIO,COMPU,INTERNET,FORM_LABORAL,BUENAS_RELACIONES,COMPROMISO_TIEMPO,ESCUCHAR_SUGERENCIAS,COLABORAR_AREAS,RESPETAR_DIFERENTES,REALIZAR_CARGA,DISTANCIA_DISTRACCION,ESCUCHAR_DESACUERDO,COMUNICAR_INCONFORMIDADES,COLABORAR_URGENTE,PERSONAS_DIFERENTES,DISTANCIA_TIEMPO,APERTURA_CONFLICTOS,CLIMA_PRESION,PARTICIPAR_PLANIFICACION,RESPETAR_TIEMPOS,RELACION_DESAGRADO,INTEGRARME_EQUIPO,CONFIAR_COMPAÑEROS,INTEGRAR_IDEAS,ESCUCHAR_PTO_DISTINTO,IDENTIFICAR_MITURNO,IDEAS_ENTENDIBLE_IDIOMA,SIN_MALASPALABRAS,PERDERSE_DISCURSO_HABLAR,ORGANIZAR_IDEAS,MULETILLAS_HABLAR,BARBARISMOS_HABLAR,REDUNDANTE_PUBLICO,EXPONER_SINAPOYO,CONTACTO_VISUAL,EXPRESION_SEGURIDAD,POSTURA_ADECUADA,VELOCIDAD_HABLA,VOLUMEN_VOZ,REDACTAR_REMITENTE,ERROR_GRAMATICAL,ESCRIB_ENTENDIBLE_IDEAS,ESCRIB_ORDEN_SECUENCIA,SIN_AUTOCORRECTOR,SIN_TECNICISMOS,CORREO_CONDENSADO,ORTOGRAF_TIC,ASPECTO_VIDEO,RESPONDER_ATIEMPO_TIC,BUSQUEDA_PROFUNDA,PREGUNTAS_PERSONAS,TERMINOS_CLAROS,CONOCER_FUENTES,BUSQUEDA_ESPECIALIZADA,ALMACENAR_INFORMACION,APLICACIONES_VISUALIZAR,ADAPTAR_BUSQUEDA,UTILIZAR_BUSCADORES,COMPARAR_INFORMACION,CONFIRMAR_INFORMACION,VALIDAR_REMITENTE,VALIDAR_AUTOR,ORDEN_FUENTES,IDENTIFICAR_ORGANIZAR,CLASIFICAR_CARPETAS,DIFERENTES_SITIOS,DESARROLLAR_PRESENTACIONES,USO_PARAFRASIS,INCORPORAR_INFORMACION
1.147758152,61.47758152,AE_Alta_COE,0.606404959,56.06404959,AE_Norm_INFO,0.893194707,58.93194707,AE_NORM_TE,0.984926918,59.84926918,AE_Normal,90,80,75,85,20,M,Enfermeria,24,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,10000a18000,si,si,si,si,si,Buenas,si,10,10,10,10,9,10,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,8,8,8,9,10,10,9,9,8,10,10,10,10,10,10
-0.075067935,49.24932065,AE_Normal_COE,1.277892562,62.77892562,AE_Alta_INFO,0.326086957,53.26086957,AE_NORM_TE,0.452040195,54.52040195,AE_Normal,65,80,10,25,95,F,Enfermeria,21,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,No,No,si,No,si,Buenas,No,8,10,10,10,8,10,9,9,9,10,10,9,9,9,10,9,8,9,8,9,9,9,9,9,8,9,8,8,8,8,9,8,9,8,9,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
-0.550611413,44.49388587,AE_Normal_COE,-0.78822314,42.1177686,AE_Norm_INFO,-0.760869565,42.39130435,AE_NORM_TE,-0.720310597,42.79689403,AE_Normal,85,50,75,80,60,F,Enfermeria,22,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,No,si,No,si,Buenas,si,6,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0.196671196,51.96671196,AE_Normal_COE,0.244834711,52.44834711,AE_Norm_INFO,0.184310019,51.84310019,AE_NORM_TE,0.269336175,52.69336175,AE_Normal,35,85,75,50,60,F,Enfermeria,20,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,No,9,10,10,10,10,9,8,9,10,9,9,9,9,9,9,9,8,8,8,9,9,9,9,10,9,9,8,9,9,8,9,9,9,8,9,9,9,9,9,9,9,8,9,9,9,9,9,9,10,9,9,10,9,9,10,9,9,9,9,9,10,10,10,9,10
0.29857337,52.9857337,AE_Normal_COE,0.606404959,56.06404959,AE_Norm_INFO,0.231568998,52.31568998,AE_NORM_TE,0.34546285,53.4546285,AE_Normal,35,65,60,45,60,F,Enfermeria,20,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,No,No,si,Buenas,No,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
0.06080163,50.6080163,AE_Normal_COE,-0.736570248,42.63429752,AE_Norm_INFO,-0.808128544,41.91871456,AE_NORM_TE,-0.446254568,45.53745432,AE_Normal,20,30,60,50,5,M,Enfermeria,20,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,si,si,si,si,si,Buenas,No,8,5,9,9,9,7,7,8,8,8,7,7,9,9,8,7,9,8,9,8,9,9,9,10,8,10,7,9,9,8,9,9,8,8,9,10,9,8,9,9,8,8,10,8,8,9,7,9,8,9,8,10,8,3,9,7,9,7,8,7,8,7,10,9,9
-2.486752717,25.13247283,AE_Baja_COE,-2.647727273,23.52272727,AE_Baja_INFO,-2.084120983,29.15879017,AE_BAJA_TE,-2.562576127,24.37423873,AE_Baja,85,30,99,90,30,F,Enfermeria,23,Mexico,Soltero,si,familiar,Unico,Publica,Escolarizada,menos4000,No,si,si,No,No,Regulares,No,5,5,5,5,5,6,9,10,5,9,9,9,5,5,8,6,6,6,7,7,5,5,5,6,7,6,4,10,9,8,5,5,5,3,5,5,6,6,5,7,6,5,5,5,5,8,6,7,5,7,7,7,7,7,7,5,5,5,6,6,6,5,6,6,6
1.07982337,60.7982337,AE_Alta_COE,1.122933884,61.22933884,AE_Alta_INFO,0.562381853,55.62381853,AE_NORM_TE,1.000152253,60.00152253,AE_Alta,30,10,45,45,30,F,Enfermeria,21,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,No,No,si,Buenas,No,5,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,10,7,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
1.011888587,60.11888587,AE_Alta_COE,1.277892562,62.77892562,AE_Alta_INFO,1.129489603,61.29489603,AE_ALTA_TE,1.198081608,61.98081608,AE_Alta,55,30,35,45,30,M,Enfermeria,21,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,si,No,si,No,si,Regulares,No,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.026834239,50.26834239,AE_Normal_COE,0.296487603,52.96487603,AE_Norm_INFO,-0.051984877,49.48015123,AE_NORM_TE,0.086632156,50.86632156,AE_Normal,35,30,10,15,10,M,Enfermeria,21,Mexico,Soltero,No,Padres,Unico,Publica,Escolarizada,4500a9000,No,No,No,No,si,Buenas,No,8,9,8,7,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,9,9,8,9,8,9,8,9,9,8,9,9,9,9,9,8,9,10,9,8,9,9,8,9,9,10,10,9,9,8,8,9,9,10,10,9,8,9,10,9,8,10
0.434442935,54.34442935,AE_Normal_COE,0.864669421,58.64669421,AE_Norm_INFO,0.609640832,56.09640832,AE_NORM_TE,0.649969549,56.49969549,AE_Normal,95,90,75,90,75,M,Enfermeria,22,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,si,9,10,9,10,10,10,9,10,8,8,10,8,9,10,10,10,10,9,10,10,9,10,9,8,9,9,8,10,9,9,8,9,9,9,9,10,9,10,10,9,9,9,9,10,10,8,10,9,9,10,10,10,9,9,10,10,10,10,10,9,9,10,10,10,10
0.909986413,59.09986413,AE_Normal_COE,0.658057851,56.58057851,AE_Norm_INFO,1.082230624,60.82230624,AE_ALTA_TE,0.954476248,59.54476248,AE_Normal,90,30,45,99,99,F,Enfermeria,20,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,10000a18000,No,No,si,No,si,Buenas,si,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,9,9,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,9,10,9,8,9,10,10,10,10,9,10,8,9,10,10,10
-2.28294837,27.1705163,AE_Baja_COE,-1.149793388,38.50206612,AE_Baja_INFO,-2.225897921,27.74102079,AE_BAJA_TE,-2.075365408,29.24634592,AE_Baja,65,50,45,25,10,M,Enfermeria,26,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,si,si,No,si,Regulares,No,5,5,6,8,7,6,5,9,7,6,7,7,7,5,5,9,8,6,6,5,7,8,7,6,5,6,5,5,6,5,8,7,7,6,5,5,5,5,6,5,8,5,5,6,6,5,8,7,7,6,8,9,8,9,9,5,10,8,6,6,7,8,8,9,10
0.672214674,56.72214674,AE_Normal_COE,0.244834711,52.44834711,AE_Norm_INFO,0.562381853,55.62381853,AE_NORM_TE,0.55861754,55.5861754,AE_Normal,20,10,15,70,85,F,Enfermeria,21,CDMX,Soltero,No,Padres,medio,Publica,Escolarizada,4500a9000,si,No,si,si,si,Regulares,si,9,10,10,10,10,9,7,9,9,9,8,10,10,10,10,10,10,10,8,10,10,10,10,8,8,10,7,9,9,8,10,10,10,10,10,10,10,10,8,10,9,10,10,10,10,2,9,10,10,10,10,10,8,9,7,7,9,10,10,10,10,10,9,10,10
1.147758152,61.47758152,AE_Alta_COE,1.277892562,62.77892562,AE_Alta_INFO,1.034971645,60.34971645,AE_ALTA_TE,1.228532278,62.28532278,AE_Alta,10,50,60,15,60,M,Enfermeria,25,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,No,No,si,Buenas,No,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.468410326,54.68410326,AE_Normal_COE,0.244834711,52.44834711,AE_Norm_INFO,0.373345936,53.73345936,AE_NORM_TE,0.40636419,54.0636419,AE_Normal,70,95,60,70,75,F,Enfermeria,21,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,menos4000,No,No,No,si,No,Buenas,No,9,10,9,10,9,9,8,8,8,10,10,8,10,10,9,9,8,10,10,10,8,10,10,10,8,9,10,10,10,8,9,8,8,9,9,9,9,9,10,9,10,10,9,10,9,9,9,10,9,8,9,10,9,8,8,8,9,9,9,9,8,9,10,10,10
0.808084239,58.08084239,AE_Normal_COE,0.348140496,53.48140496,AE_Norm_INFO,0.420604915,54.20604915,AE_NORM_TE,0.604293544,56.04293544,AE_Normal,30,10,10,20,60,F,Enfermeria,21,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,si,No,si,si,Buenas,No,9,8,8,9,9,9,8,10,9,10,10,10,9,9,10,10,9,10,10,9,9,9,10,10,10,8,8,10,10,10,9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,8,8,8,9,9,9,10,10,10,8,9,10,9,9
0.876019022,58.76019022,AE_Normal_COE,0.916322314,59.16322314,AE_Norm_INFO,0.893194707,58.93194707,AE_NORM_TE,0.954476248,59.54476248,AE_Normal,15,30,5,5,30,F,Enfermeria,21,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,si,No,si,si,Buenas,si,10,10,10,10,10,9,10,9,10,10,10,9,9,10,10,10,9,10,10,10,10,10,10,10,9,10,8,10,9,10,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,10,10,10,10,9,9,10,10,10,9,10,10,10
0.502377717,55.02377717,AE_Normal_COE,0.554752066,55.54752066,AE_Norm_INFO,0.893194707,58.93194707,AE_NORM_TE,0.710870889,57.10870889,AE_Normal,5,15,15,45,99,F,Enfermeria,24,CDMX,Casado,No,Pareja,menor,Publica,Escolarizada,4500a9000,si,No,si,si,si,Regulares,si,10,10,10,10,10,10,9,10,10,10,10,9,9,10,10,10,8,10,10,10,10,8,10,10,9,10,9,10,10,10,10,10,9,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,9,10,10,9,8,9,10,10,10,10,10,10,10,9,9,10
0.909986413,59.09986413,AE_Normal_COE,0.709710744,57.09710744,AE_Norm_INFO,0.987712665,59.87712665,AE_NORM_TE,0.908800244,59.08800244,AE_Normal,70,95,35,50,20,F,Enfermeria,24,CDMX,Casado,No,Pareja,menor,Publica,Escolarizada,4500a9000,si,No,si,si,si,Regulares,si,10,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,9,9,9
0.84205163,58.4205163,AE_Normal_COE,0.864669421,58.64669421,AE_Norm_INFO,0.656899811,56.56899811,AE_NORM_TE,0.847898904,58.47898904,AE_Normal,30,30,25,15,30,F,Enfermeria,22,CDMX,Soltero,si,Padres,menor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,9,10,9,10,10,10,8,9,9,10,10,10,9,9,10,10,9,10,9,10,10,9,10,9,10,9,9,10,9,9,9,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,9,9,9,10,10,9,9,10,10,10,10,10,10,10,10,9,9,9
0.638247283,56.38247283,AE_Normal_COE,-1.459710744,35.40289256,AE_Baja_INFO,-0.335538752,46.64461248,AE_NORM_TE,-0.248325213,47.51674787,AE_Normal,85,30,60,25,90,F,Enfermeria,22,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,menos4000,si,No,No,No,No,Regulares,si,9,10,10,9,10,8,9,9,6,9,9,9,9,9,9,9,6,9,2,9,9,9,10,10,10,10,9,10,9,10,9,10,10,10,10,10,9,10,10,8,9,9,9,8,8,5,9,9,5,7,9,5,5,5,8,8,8,8,8,8,8,8,8,8,8
0.366508152,53.66508152,AE_Normal_COE,-0.78822314,42.1177686,AE_Norm_INFO,0.278827977,52.78827977,AE_NORM_TE,0.025730816,50.25730816,AE_Normal,85,30,25,85,75,F,Enfermeria,23,Mexico,Soltero,si,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,7,10,10,10,10,8,7,10,10,10,10,8,9,9,9,9,9,9,9,9,10,10,10,10,8,8,8,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-0.244904891,47.55095109,AE_Normal_COE,-0.78822314,42.1177686,AE_Norm_INFO,0.231568998,52.31568998,AE_NORM_TE,-0.263550548,47.36449452,AE_Normal,65,30,45,60,30,F,Enfermeria,23,CDMX,Soltero,No,Padres,medio,Publica,Escolarizada,menos4000,si,No,No,si,si,Regulares,No,8,8,9,10,10,8,8,10,10,10,10,9,9,9,9,8,9,9,9,9,9,9,8,8,8,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-0.109035326,48.90964674,AE_Normal_COE,-0.16838843,48.3161157,AE_Norm_INFO,0.042533081,50.42533081,AE_NORM_TE,-0.080846529,49.19153471,AE_Normal,30,10,45,5,20,M,Enfermeria,20,CDMX,Soltero,No,Padres,Unico,Publica,Escolarizada,menos4000,si,si,si,No,si,Regulares,No,8,9,9,9,10,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,8,9,8,9,8,9,8,8,8,9,8,9,8,9,9,9,9,8,9,9,9,9,9,9,9,8,8,9,9,9,8,9,9,9,8,8,9,8,9,8,8,9
-1.467730978,35.32269022,AE_Baja_COE,-2.18285124,28.1714876,AE_Baja_INFO,-1.800567108,31.99432892,AE_BAJA_TE,-1.603380024,33.96619976,AE_Baja,5,30,45,5,30,M,Enfermeria,22,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,No,No,No,si,si,Regulares,si,8,8,9,7,9,7,9,10,7,8,10,6,7,8,8,8,8,7,7,8,9,9,4,8,5,5,6,8,7,8,6,8,7,7,8,6,6,7,7,6,7,6,9,7,7,6,6,7,7,7,7,7,6,7,6,7,6,7,6,7,7,7,6,7,7
-1.060122283,39.39877717,AE_Baja_COE,-1.872933884,31.27066116,AE_Baja_INFO,-0.808128544,41.91871456,AE_NORM_TE,-1.557704019,34.42295981,AE_Baja,30,80,60,15,75,M,Enfermeria,22,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,No,No,No,si,si,Regulares,No,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,6,7,10,8,7,5,8,9,9,8,8,7,7,7,6,7,7,6,7,6,6,9,9,7,7,5,6,6,7,7,7,7,6,7,8,8,7,7,8,7,7,7,8,7
0.808084239,58.08084239,AE_Normal_COE,1.174586777,61.74586777,AE_Alta_INFO,0.515122873,55.15122873,AE_NORM_TE,0.878349574,58.78349574,AE_Normal,55,30,95,15,60,F,Enfermeria,22,CDMX,Soltero,No,Padres,menor,Privada,Escolarizada,4500a9000,No,No,No,si,si,Buenas,si,8,10,9,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,6,8,9,10,10,10,9,9,8,10,9,10,10,10,9,8,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10
0.230638587,52.30638587,AE_Normal_COE,0.089876033,50.89876033,AE_Norm_INFO,0.042533081,50.42533081,AE_NORM_TE,0.147533496,51.47533496,AE_Normal,30,5,90,35,5,F,Enfermeria,22,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,si,si,No,si,Buenas,si,8,10,9,9,9,9,8,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,8,8,7,9,9,9,9,9,9,8,9,9,10,9,9,10,9,9,10,9,9,9,9,9,9,9,9,8,9,9,8,8,9,9,9,9,9,9,9,9,9
0.230638587,52.30638587,AE_Normal_COE,0.399793388,53.99793388,AE_Norm_INFO,0.609640832,56.09640832,AE_NORM_TE,0.421589525,54.21589525,AE_Normal,55,65,75,35,30,F,Enfermeria,27,CDMX,Union_libre,si,Pareja,Mayor,Publica,Escolarizada,menos4000,No,No,si,si,si,Buenas,si,10,10,9,9,10,9,8,9,10,10,9,9,9,9,10,10,9,10,10,10,10,9,9,10,9,8,9,10,9,9,8,9,9,7,10,8,9,8,8,9,9,9,9,10,9,8,10,9,8,10,9,10,9,7,9,10,9,9,10,9,10,9,9,9,10
0.468410326,54.68410326,AE_Normal_COE,0.141528926,51.41528926,AE_Norm_INFO,0.13705104,51.3705104,AE_NORM_TE,0.299786845,52.99786845,AE_Normal,65,65,99,80,75,F,Enfermeria,21,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,No,si,No,si,Buenas,No,7,10,8,9,9,10,8,9,10,10,10,8,9,9,9,10,8,9,8,9,9,9,10,9,10,10,9,9,9,9,10,10,9,10,10,9,8,8,9,9,9,9,9,10,8,9,9,8,9,9,10,9,9,9,8,9,9,8,9,8,9,9,10,9,9
-0.856317935,41.43682065,AE_Normal_COE,-0.891528926,41.08471074,AE_Norm_INFO,-1.233459357,37.66540643,AE_BAJA_TE,-0.918239951,40.81760049,AE_Normal,45,99,35,25,30,F,Enfermeria,21,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,7,6,8,8,8,8,7,7,8,8,8,8,7,8,7,8,7,7,7,8,9,9,8,8,8,7,7,8,8,6,7,8,8,8,9,9,8,8,8,8,8,7,9,8,8,5,9,8,8,8,6,9,8,8,8,9,9,8,7,8,8,8,9,8,7
-0.584578804,44.15421196,AE_Normal_COE,-0.116735537,48.83264463,AE_Norm_INFO,-1.09168242,39.0831758,AE_BAJA_TE,-0.765986602,42.34013398,AE_Normal,30,99,25,45,30,F,Enfermeria,21,CDMX,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Regulares,No,8,8,7,8,8,8,7,8,8,8,7,7,9,9,8,8,8,7,5,7,7,8,8,9,8,7,8,8,7,6,7,8,8,8,8,7,7,7,7,8,8,7,9,8,8,8,9,9,9,9,8,9,8,9,8,9,9,8,9,9,8,9,8,9,9
0.196671196,51.96671196,AE_Normal_COE,0.244834711,52.44834711,AE_Norm_INFO,0.987712665,59.87712665,AE_NORM_TE,0.482490865,54.82490865,AE_Normal,65,80,75,70,75,F,Enfermeria,21,Mexico,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,si,No,si,No,si,Regulares,No,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,9,10,8,8,7,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
0.468410326,54.68410326,AE_Normal_COE,1.019628099,60.19628099,AE_Alta_INFO,0.940453686,59.40453686,AE_NORM_TE,0.817448234,58.17448234,AE_Normal,10,15,45,10,20,F,Enfermeria,22,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,4500a9000,si,No,si,No,si,Buenas,si,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,10,10,9,9,10,10,10,10,10,8,9,7,10,10,9,10,9,9,8,8,10,9,9,9,9,9,10,8,10,10,9,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,9,10,10
-2.928328804,20.71671196,AE_Baja_COE,-1.408057851,35.91942149,AE_Baja_INFO,-2.934782609,20.65217391,AE_BAJA_TE,-2.669153471,23.30846529,AE_Baja,20,85,25,50,75,F,Enfermeria,23,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,4500a9000,No,No,si,No,si,Buenas,No,5,3,10,6,10,5,1,10,5,9,4,3,5,5,6,8,3,3,7,6,10,8,2,8,0,1,0,10,2,2,5,0,5,4,10,5,7,3,0,8,6,9,9,8,8,6,6,5,9,9,9,9,7,8,7,6,7,9,6,7,9,9,10,4,6
-0.516644022,44.83355978,AE_Normal_COE,-0.58161157,44.1838843,AE_Norm_INFO,-0.335538752,46.64461248,AE_NORM_TE,-0.507155907,44.92844093,AE_Normal,35,50,75,15,20,M,Enfermeria,21,Mexico,Soltero,No,Padres,medio,Publica,Escolarizada,4500a9000,No,No,No,si,si,Buenas,No,10,8,9,9,9,9,6,9,9,7,7,7,9,9,8,8,9,9,9,9,8,8,9,9,8,8,6,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
0.026834239,50.26834239,AE_Normal_COE,-0.891528926,41.08471074,AE_Norm_INFO,-0.099243856,49.00756144,AE_NORM_TE,-0.278775883,47.21224117,AE_Normal,20,50,10,35,5,M,Enfermeria,22,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,10000a18000,si,No,si,si,si,Buenas,si,8,10,8,9,10,10,8,10,9,8,8,8,9,9,9,9,8,8,8,8,10,8,8,9,9,7,9,9,9,9,9,10,8,9,10,9,9,8,8,8,8,8,9,9,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
-0.312839674,46.87160326,AE_Normal_COE,0.709710744,57.09710744,AE_Norm_INFO,0.70415879,57.0415879,AE_NORM_TE,0.299786845,52.99786845,AE_Normal,45,30,75,55,75,F,Enfermeria,20,Mexico,Soltero,No,Padres,menor,Publica,Escolarizada,10000a18000,No,No,si,No,si,Regulares,No,9,10,10,9,10,10,9,10,10,10,9,9,10,8,9,10,10,10,10,9,9,10,8,8,8,7,6,10,8,8,8,8,8,8,9,8,9,8,8,8,8,8,9,10,8,9,9,9,10,9,9,8,10,10,10,10,9,10,10,10,9,9,9,10,10
1.011888587,60.11888587,AE_Alta_COE,1.174586777,61.74586777,AE_Alta_INFO,-0.619092628,43.80907372,AE_NORM_TE,0.604293544,56.04293544,AE_Normal,70,5,15,5,99,F,Enfermeria,21,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,si,No,No,No,Regulares,si,3,10,10,10,10,10,7,10,10,10,10,7,8,4,10,9,10,4,1,10,10,10,10,8,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10
1.147758152,61.47758152,AE_Alta_COE,1.277892562,62.77892562,AE_Alta_INFO,1.129489603,61.29489603,AE_ALTA_TE,1.258982948,62.58982948,AE_Alta,99,80,95,99,85,F,Enfermeria,21,CDMX,Soltero,No,Padres,Mayor,Publica,Escolarizada,menos4000,si,si,No,No,No,Regulares,si,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
0.774116848,57.74116848,AE_Normal_COE,0.864669421,58.64669421,AE_Norm_INFO,1.034971645,60.34971645,AE_ALTA_TE,0.939250914,59.39250914,AE_Normal,5,5,99,5,75,F,Enfermeria,30,Mexico,Union_libre,No,Pareja,Mayor,Publica,Escolarizada,10000a18000,si,si,No,si,si,Buenas,No,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,8,10,9,10,9,10,10,10,10,10,10,9,10,10,9,10,10,9,10,8,10,10,10,10,10,10,10,10,9,10,10,6,9,10,10,10,10,10,10,10,10,8,10
-0.890285326,41.09714674,AE_Normal_COE,-0.943181818,40.56818182,AE_Norm_INFO,-1.04442344,39.5557656,AE_BAJA_TE,-1.009591961,39.90408039,AE_Baja,75,80,75,75,30,M,Enfermeria,24,CDMX,Soltero,No,Padres,Mayor,Privada,Escolarizada,4500a9000,No,No,No,No,si,Regulares,No,7,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,7,8,7,7,8,7,8,8,8,7,8,7,8,8,7,8,7,8,7,8,8,7,8,7,8,7,7,8,8,7,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
